y,x
0.01,0.01
14.908751,13.437119
0.275059,0.576301
0.2,0.46
4.7,24.659754
0.74,1.8
0.003,0.0021
75.25,90.290001
1e-04,0.0027
0.55,1.3
31.879999,39.77
168.193542,107.197968
1e-04,1e-04
13.920753,13.473019
31.397797,29.752645
0.215,0.185
32.400002,37.072834
9.04,5.62
3.23,2.63
34.455608,23.167486
268.26001,107.360001
133.75,120.660004
0.06,0.14
3.85,5.06
28.452997,21.646109
20.91,18.629999
113.812294,72.320168
0.01,0.01
55.842506,41.56422
8.42,5.046656
1.13,2.6
11.4862,0.01986
61.470001,46.5
20.156525,18.505814
83.435394,48.557274
47.66,45.630001
20.444429,11.254361
14.956677,5.517134
11.35,10.21
15.892712,10.714766
54.91,18.57
110.857903,58.654072
80.609871,28.911655
30.25,25.75
29.559999,14.6
5e-05,0.001
13.13548,10.477989
13.12,7.05
